6941,Tenchi Muyo in Love,Comedy,tv series,1,7.13,4650,
25345,Black Bullet: Tenchuu＊Girls,Fsntaxy,movie,4,7.61,6158,"'The movie will compile the episodes from the second season of the anime, and will also have new cuts of animation.::myanimelist'"
2511,Pandora Hearts,"Animation,Action,Fantasy,Mystery",tv series,1,6.83,1027,"'Oz Vessalius, heir to one of the duke houses, has just turned fifteen. His life is rich and carefree, darkened only by the constant absence of his father. At his coming-of-age ceremony, however, everything changes. For no reason that he can discern, he\'s cast into the prison known as the ""Abyss"", only to be saved by a ""chain"" known as Alice, the bloodstained black rabbit. Why was he cast into Abyss, how does Alice factor into it all, and what does the organization known as ""Pandora"" want with him.::ANN'"
19365,Toki no Daichi: Hana no Oukoku no Majo,"Adventure,Fantasy",tv series,22,7.0,74324,"""Usavich is a series about an odd pair of rabbits imprisoned in a Soviet Gulag. Shows the absurd everyday occurrences of the two rabbits' prison life, and the the two rabbits' life on the run from law enforcement."""
419,"Yondemasu yo, Azazel-san.",Coozfg,tv series,26,7.02,38580,
30415,Pair,"Short,Romance",movie,1,8.15,24310,
1466,Dona Xepa,"Zplrai,Dfams,Rliegsf",tv series,26,6.75,1387,
18139,Dragon Ball Z: Bardock - The Father of Goku,"Animation,Drama,Fantasy,Sci-Fi",movie,21,7.69,82568,"'The tale of Bardock, the father of Goku, and his rebellion against his master the mighty Frieza.', ""A prequel to the original Dragonball series, this TV movie tells the story of Son Goku's father Bardock and his futile attempt to stop Freeza from destroying his planet Vegeta. It also shows how little Kakarotto (Son Goku) ends up on earth!::Anonymous"""
18677,Tsuyu no Hito Shizuku,Hjdtjdlral,movie,12,7.07,115338,"'Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.::IMDb Editors', 'Will, Lisa, and two of their friends attempt to flee man-made and natural disasters and encounter Batman, Hancock, The Hulk, Indiana Jones, Hannah Montana, Michael Jackson, Beowulf, the Love Guru, Iron Man, rabid chipmunks amongst others in their seemingly vain efforts to seek help and shelter from unknown threats.::rAjOo (gunwanti@hotmail.com)'"
6344,Ragnarok: The Animation,Animation,tv series,1,7.12,9558,
1260,Shinichi Hoshi's Short Shorts,Znkmaduok,tv series,1,7.07,8217,
2866,Saru to kani saru to kani no gassen,"Animation,Short",movie,4,6.96,7712,
2065,Koi-ken!: Watashitachi Anime ni Nacchatta!,"Ecchi,Music",tv series,2,6.04,950,
3583,Vandread: Gekitou-hen,"Esgiin,Evnenbufr,Rokedf,Ewbji,Mzchx,Rfj-Si,Spqcw",movie,1,5.88,1034,
5504,Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland Specials,"Comedy,Parody",movie,12,7.33,16720,"""Anthropomorphic cats abduct little kids' dog to use him as a weapon for their Mistress who wants to control the fantastical cat world. Young boy and his sister must travel to this world to save their pet and the cat world.::Anonymous"""
3051,Dragonball Z - Movie 14: Kampf der Götter,"Enjmxullg,Actiut,Cokeqy,Fabtwwv,Sci-Fi",movie,1,7.42,2319,"'The Z-Fighters must contend with Lord Beerus, the God of Destruction, but only a God can fight a God, and none of them are Gods. However with the creation of the Super Saiyan God, will the Z-Fighters be able to defeat Lord Beerus?::20th Century Fox, Toei Animations, and Funimation Studios', 'The events of Battle of Gods take place some years after the battle with Majin Buu, which determined the fate of the entire universe. Bills, the God of Destruction, is tasked with maintaining some sort of balance in the universe. After awakening from a long slumber, Bills is visited by Whis and learns that the galactic overlord Frieza has been defeated by a Super Saiyan from the North Quadrant of the universe named Goku, who is also a former student of the North Kai. Ecstatic over the new challenge, Goku ignores King Kai\'s advice and battles Bills, but he is easily overwhelmed and defeated. Bills leaves, but his eerie remark of ""Is there nobody on Earth more worthy to destroy?"" lingers on. Now it is up to the heroes to stop the God of Destruction before all is lost.::ForLand Hucy'"
1578,Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,"Azvkik,Xvvenhlcw,Cpmedg,Kahif,Mtcha,Wcu-Ri",tv series,13,7.03,6786,
2803,Onmyouji: Youen Emaki,"Dvmons,Gentci",movie,46,7.34,1897,"'A follow up to the television series ""Kimagure Orange Road"" that wraps up loose ends. Kyosuke must deal with the fact that his, Hikaru and Madoka\'s friendship is falling apart.::Anonymous'"
22327,Ichigo mashimaro encore: Konnichiwa,"Wnimation,Shovu",movie,1,6.63,71,
